N, nq, efc, efs, M, M_beta, gamma, recall, query_time, bitmap_time
1000000,5000,40,10,16,16,1,0.282,0.294751,16.069
1000000,5000,40,20,16,16,1,0.413,0.152859,14.247
1000000,5000,40,40,16,16,1,0.545,0.238480,13.929
1000000,5000,40,80,16,16,1,0.654,0.417456,16.118
1000000,5000,40,150,16,16,1,0.732,0.336339,13.885
1000000,5000,40,10,16,16,10,0.294,0.056172,13.270
1000000,5000,40,20,16,16,10,0.419,0.269702,15.384
1000000,5000,40,40,16,16,10,0.543,0.273087,15.604
1000000,5000,40,80,16,16,10,0.653,0.421323,15.472
1000000,5000,40,150,16,16,10,0.729,0.402490,13.737
1000000,5000,40,10,32,32,1,0.491,0.267488,15.377
1000000,5000,40,20,32,32,1,0.623,0.229357,15.718
1000000,5000,40,40,32,32,1,0.726,0.302061,14.611
1000000,5000,40,80,32,32,1,0.800,0.387328,14.186
1000000,5000,40,150,32,32,1,0.842,0.506997,13.510
1000000,5000,40,10,32,32,10,0.482,0.256024,15.170
1000000,5000,40,20,32,32,10,0.612,0.271184,15.616
1000000,5000,40,40,32,32,10,0.712,0.296364,13.770
1000000,5000,40,80,32,32,10,0.785,0.396935,15.806
1000000,5000,40,150,32,32,10,0.826,0.516765,14.153
1000000,5000,40,10,64,64,1,0.616,0.225046,14.513
1000000,5000,40,20,64,64,1,0.714,0.186787,16.004
1000000,5000,40,40,64,64,1,0.782,0.326737,15.323
1000000,5000,40,80,64,64,1,0.828,0.423210,13.915
1000000,5000,40,150,64,64,1,0.854,0.485970,14.365
1000000,5000,40,10,64,64,10,0.619,0.300520,14.572
1000000,5000,40,20,64,64,10,0.715,0.314935,18.154
1000000,5000,40,40,64,64,10,0.785,0.274405,13.864
1000000,5000,40,80,64,64,10,0.832,0.429380,15.067
1000000,5000,40,150,64,64,10,0.861,0.586645,14.516
