1000000,5000,100,40,32,32,1,0.331,2.382, 357.846
1000000,5000,100,80,32,32,1,0.366,4.455, 367.064
1000000,5000,100,150,32,32,1,0.388,6.160, 382.588
1000000,5000,100,40,32,32,10,0.331,2.662, 359.546
1000000,5000,100,80,32,32,10,0.366,3.720, 380.957
1000000,5000,100,150,32,32,10,0.388,4.974, 375.280
1000000,5000,100,40,64,64,1,0.446,5.006, 374.075
1000000,5000,100,80,64,64,1,0.478,7.076, 374.498
1000000,5000,100,150,64,64,1,0.493,9.931, 366.576
1000000,5000,100,40,64,64,10,0.446,4.919, 365.268
1000000,5000,100,80,64,64,10,0.478,6.628, 365.208
1000000,5000,100,150,64,64,10,0.493,9.871, 366.123
