N, nq, efc, efs, M, M_beta, gamma, recall, query_time, bitmap_time
1000000,5000,100,40,32,32,1,0.141,2.424, 472.170
1000000,5000,100,80,32,32,1,0.153,3.220, 469.356
1000000,5000,100,150,32,32,1,0.163,4.134, 483.034
1000000,5000,100,40,32,32,10,0.141,2.506, 459.312
1000000,5000,100,80,32,32,10,0.153,3.266, 472.671
1000000,5000,100,150,32,32,10,0.163,2.665, 451.391
1000000,5000,100,40,64,64,1,0.177,4.002, 474.112
1000000,5000,100,80,64,64,1,0.191,3.529, 453.048
1000000,5000,100,150,64,64,1,0.199,4.704, 445.693
1000000,5000,100,40,64,64,10,0.177,4.270, 466.682
1000000,5000,100,80,64,64,10,0.191,3.560, 443.469
1000000,5000,100,150,64,64,10,0.199,4.694, 447.909
